python udp_client.py

Connected to the server.
Starting a file (upload.txt) upload...
Received ack(1:iwubzoqtgggvzwlnnuyq) from the server.
Received ack(3:ziywtheqzmryciqrdjyy) from the server.
Received ack(5:cxfqjzlrfivglnsfvjvc) from the server.
Received ack(7:epzoddpvayqvwrpvilwc) from the server.
Received ack(9:vbxrbojgzingmwszwtfc) from the server.
Received ack(11:vdfepzhvbhbrltpzitmr) from the server.
Received ack(13:bhomjczjjhizgqgwvytu) from the server.
Received ack(15:puramefddscqeeyehhcu) from the server.
Received ack(17:oazzmzdiwaalvxggqreo) from the server.
Received ack(19:aioneopapdryqamtymfm) from the server.
Received ack(21:piaxyonlrjedmplviaec) from the server.
Received ack(23:xuqjwtvppoihfpzldvev) from the server.
Received ack(25:ygemucwbvwgdcazcsiui) from the server.
Received ack(27:suverwnerrplszkcpkro) from the server.
Received ack(29:mttyybtygtkdutlyqbsw) from the server.
Received ack(31:lbgxtpehaceyaeontkuv) from the server.
Received ack(33:vequhfgubqgrkcmwzpqj) from the server.
Received ack(35:zqwriynooktpilhqimkg) from the server.
Received ack(37:hfiwzpimlfmszzmpxnvm) from the server.
Received ack(39:euwbcywvdwuvpsiwcsvm) from the server.
Received ack(41:livvqqjsmjjpywahiivb) from the server.
Received ack(43:qfwxgqysnipmiaqnynat) from the server.
Received ack(45:mzpxyjrtmmpynzcuxfzf) from the server.
Received ack(47:gpngutackqwekaubkwll) from the server.
Received ack(49:gkxqbtriqntdzhymyjmt) from the server.
Received ack(51:bwjuaiiadpkkxhgkmtdh) from the server.
Received ack(53:ekxrrqxxwwkjtczwgzdh) from the server.
Received ack(55:ymcjqednjhmuescyomxp) from the server.
Received ack(57:xkvdjpszckrdoexndquy) from the server.
Received ack(59:ehinyookjmskychfxrts) from the server.
Received ack(61:ezlwbpwkmxobsgknmnik) from the server.
Received ack(63:vikncyamvavrzywdrent) from the server.
Received ack(65:dsdysfinedakpvjwcrlp) from the server.
Received ack(67:bsdtcmunpwzuotzumvtp) from the server.
Received ack(69:gegvywpbeoajncemvrsx) from the server.
Received ack(71:pouleuqsookykwyhrwal) from the server.
Received ack(73:wrzgrdbikmymcpgyaqxw) from the server.
Received ack(75:crouxocgzeifzyrivqih) from the server.
Received ack(77:otijfghzgeojcslkosca) from the server.
Received ack(79:mgsfxgliwithhpbaqpgf) from the server.
Received ack(81:oreguvpdmzwmztaymmgs) from the server.
Received ack(83:sxhufbfhsdhoscgsafqa) from the server.
Received ack(85:etzzgtepqmatqpgpibii) from the server.
Received ack(87:yhbyyqyarsxpqzemhfbe) from the server.
Received ack(89:kphrovzktvulpiskgbbt) from the server.
Received ack(91:irvlemldcrubxnusuplg) from the server.
Received ack(93:qgwfpslmwzocvsyasyqf) from the server.
Received ack(95:gcgejudnibkbypizjbzv) from the server.
Received ack(97:jzzeonemwnuhbqtteuad) from the server.
Received ack(99:qjmundobbhltntbdoxlj) from the server.
Received ack(101:vyczvgahejvylfnnuraa) from the server.
Received ack(103:mosgmsofdjmlvdikvvhh) from the server.
Received ack(105:jbjscowlicyjyptwqsxu) from the server.
Received ack(107:coanbpdjqjmvtkcspekm) from the server.
Received ack(109:ghqaapdbkcwoejnhyxiu) from the server.
Received ack(111:yyeureyvybdgpzfpnsef) from the server.
Received ack(113:agnkmpaovplsccvbwctn) from the server.
Received ack(115:xqpjwsirxjnckloystjv) from the server.
Received ack(117:mutchxzaxrrjixeqlgfl) from the server.
Received ack(119:qkdcfvivkmdhdznbzwwo) from the server.
Received ack(121:kfxatvdkqmybehgmmwqt) from the server.
Received ack(123:vgavuiacobzpnneiboow) from the server.
Received ack(125:sctapdxulyioxajschia) from the server.
Received ack(127:wralvutqbzcwaqgbtifc) from the server.
Received ack(129:xugmuxnnbdzkhddndmto) from the server.
Received ack(131:bcmddlbylgsjgmekdynh) from the server.
Received ack(133:ozyreluxdafeobtvqqws) from the server.
Received ack(135:jxuqwczjewbtjohwwikh) from the server.
Received ack(137:gesnltzjwaduqgtoxwob) from the server.
Received ack(139:xcfdfvxpzhutgtubzvft) from the server.
Received ack(141:foqzdpnzxzdptnpkhepw) from the server.
Received ack(143:zhmojrwoffeztgxugnyq) from the server.
Received ack(145:oanxigfnbsyrzysifybn) from the server.
Received ack(147:ohelqxykjfzpzpehmwyr) from the server.
Received ack(149:gljnozggmvxujmnirvcg) from the server.
Received ack(151:dtdvrjdhuysbtdukkyeh) from the server.
Received ack(153:prvoenmlnowfenfucpmo) from the server.
Received ack(155:egrhxgsboegaakvpsxfi) from the server.
Received ack(157:adllsbrifhrggjqcqoit) from the server.
Received ack(159:gfmarrmdltbkgguwgofx) from the server.
Received ack(161:dpuoslmpnkazwtgplmip) from the server.
Received ack(163:dkpyyktkfjiaaksfldbs) from the server.
Received ack(165:ldskureqdkawccdazdcn) from the server.
Received ack(167:bkigslravnrvxemlscua) from the server.
Received ack(169:zlnojlhypbxvopvginyb) from the server.
Received ack(171:krfyhbtlggemlyghxfim) from the server.
Received ack(173:nzihnximhqjhvvayyozd) from the server.
Received ack(175:mxyjquqzlvlsyusiyghs) from the server.
Received ack(177:eiwojvrzuvyzjekgmuqr) from the server.
Received ack(179:jpbzomasnhcghdguiamh) from the server.
Received ack(181:mfjuxsvbfxhmybxoambw) from the server.
Received ack(183:eifvqbllgwngetgqytcq) from the server.
Received ack(185:tjqzuifhauhbemrfanpl) from the server.
Received ack(187:astfrwxfmqvspwpbfblw) from the server.
Received ack(189:gvufdjhbuhatofnvmgfd) from the server.
Received ack(191:iuidgekdwlmylkmyhtkv) from the server.
Received ack(193:loxqeipbyyjivaepxymh) from the server.
Received ack(195:mutnngmdohcuwxrvlkox) from the server.
Received ack(197:stsasleopctbukfdptek) from the server.
Received ack(199:ugsvunagdzdlpvatqwja) from the server.
Received ack(201:yqvccxukhqyxvirbedte) from the server.
Received ack(203:hlggnhbafvtxvfufrofo) from the server.
Received ack(205:yownqxoknqobzbuuuygn) from the server.
Received ack(207:joiytlqtacjkeznonqwg) from the server.
Received ack(209:ecwkfmaoixqyiuyjrhza) from the server.
Received ack(211:zkqxlcclhoguwozbhffk) from the server.
Received ack(213:cxpdrujizlhpbytczmlf) from the server.
Received ack(215:mgjcvssywbvvqcrywuqv) from the server.
Received ack(217:chwjtulyhusclagupqgs) from the server.
Received ack(219:yrivddjnetihiaodkfhu) from the server.
Received ack(221:vidbtjmhxvaexnecsegs) from the server.
Received ack(223:aiwhgkbrvzhewzcuraxx) from the server.
Received ack(225:vhbhjbmlrfqhvahqyftx) from the server.
Received ack(227:zckzukojxfghuffiogoc) from the server.
Received ack(229:deyzoxkinblkjqpyuybp) from the server.
Received ack(231:jwhgppcdodccfjdauvbw) from the server.
Received ack(233:oixvscghohdhlxstjkwk) from the server.
Received ack(235:dnaherijkzfjoljucbnu) from the server.
Received ack(237:drnogdspvrdqjmtffnrf) from the server.
Received ack(239:dnzsavlwngwwjmdmadea) from the server.
Received ack(241:eqytfceztyhfiwhywsfy) from the server.
Received ack(243:eexpmdnsfphotknxdxtz) from the server.
Received ack(245:qiukveghzmoqkcvzkqri) from the server.
Received ack(247:vrzkdoidbdcerwuljbec) from the server.
Received ack(249:ngrqnbmmamurrqsyrxnt) from the server.
Received ack(251:jmxtlokofvzfegwvquft) from the server.
Received ack(253:acljurdckuqespwioqzx) from the server.
Received ack(255:rxbvbmhjqdrdoehcbseg) from the server.
Received ack(257:taisvwmkjcnvsbecydfz) from the server.
Received ack(259:pqojysbydfvlpgvfqilv) from the server.
Received ack(261:ftvncniigdfvpinqrxxe) from the server.
Received ack(263:ruxbjbawgjqzcaairjqp) from the server.
Received ack(265:fuiiguhddemuqqsmmwmf) from the server.
Received ack(267:pjesifzhhjbccjydling) from the server.
Received ack(269:lpuyxxextlxczudeuxym) from the server.
Received ack(271:xqolkinkdetwdgcqykpz) from the server.
Received ack(273:seukinyatiekvbjxejqq) from the server.
Received ack(275:faqfowjuwbhcoratzalp) from the server.
Received ack(277:ovvdayuehccepluzongz) from the server.
